episode,timesteps,reward,red_car_escaped
0,28,882.0,1
1,168,380.0,1
2,736,-1593.0,1
3,817,639.0,1
4,1312,-1115.0,1
5,1887,-1725.0,1
6,1937,785.0,1
7,2167,100.0,1
8,2230,762.0,1
9,2462,-27.0,1
10,2673,154.0,1
11,2712,836.0,1
12,2922,50.0,1
13,2933,954.0,1
14,2961,857.0,1
15,3088,403.0,1
16,3160,693.0,1
17,3355,125.0,1
18,4032,-1887.0,1
19,4122,595.0,1
20,4169,753.0,1
21,4340,224.0,1
22,4534,116.0,1
23,4625,594.0,1
24,4731,534.0,1
25,4861,430.0,1
26,4914,727.0,1
27,4942,877.0,1
28,4992,755.0,1
29,5060,717.0,1
30,5182,503.0,1
31,5494,-532.0,1
32,5618,491.0,1
33,5992,-549.0,1
34,6011,911.0,1
35,6094,687.0,1
36,6663,-1619.0,1
37,6685,883.0,1
38,6714,866.0,1
39,6749,850.0,1
40,6845,569.0,1
41,6966,444.0,1
42,6982,939.0,1
43,7080,537.0,1
44,7090,960.0,1
45,7317,-227.0,1
46,7460,302.0,1
47,7482,918.0,1
48,7636,346.0,1
49,7784,382.0,1
50,7811,893.0,1
51,7844,837.0,1
52,7849,985.0,1
53,7850,994.0,1
54,8338,-1213.0,1
55,8345,973.0,1
56,8443,517.0,1
57,8460,933.0,1
58,8481,914.0,1
59,8506,905.0,1
60,8550,781.0,1
61,8633,592.0,1
62,8634,999.0,1
63,9001,-737.0,1
64,9034,852.0,1
65,9051,923.0,1
66,9101,805.0,1
67,9122,904.0,1
68,9155,852.0,1
69,9173,922.0,1
70,9254,634.0,1
71,9332,682.0,1
72,9333,999.0,1
73,9346,947.0,1
74,9429,617.0,1
75,9527,502.0,1
76,9591,726.0,1
77,9642,774.0,1
78,9696,766.0,1
79,9717,924.0,1
80,9718,994.0,1
81,9814,599.0,1
82,9838,896.0,1
83,9869,869.0,1
84,9922,762.0,1
85,9927,985.0,1
86,9928,994.0,1
87,9929,994.0,1
88,9949,910.0,1
89,10014,705.0,1
90,10040,894.0,1
91,10138,522.0,1
92,10201,727.0,1
93,10204,992.0,1
94,10330,469.0,1
95,10389,711.0,1
96,10401,943.0,1
97,10449,802.0,1
98,10518,696.0,1
99,10530,943.0,1
100,10590,750.0,1
101,10607,938.0,1
102,10608,994.0,1
103,10629,894.0,1
104,10659,850.0,1
105,10695,849.0,1
106,10782,668.0,1
107,10861,676.0,1
108,10901,800.0,1
109,10925,911.0,1
110,10995,695.0,1
111,11067,698.0,1
