episode,timesteps,reward,red_car_escaped
0,209,21.0,1
1,292,647.0,1
2,566,-99.0,1
3,874,-363.0,1
4,918,821.0,1
5,1173,-125.0,1
6,1223,805.0,1
7,1454,-86.0,1
8,1476,898.0,1
9,1496,930.0,1
10,1601,550.0,1
11,1664,712.0,1
12,2369,-2235.0,1
13,2417,752.0,1
14,2598,189.0,1
15,2715,508.0,1
16,2792,608.0,1
17,2938,339.0,1
18,3133,110.0,1
19,3150,933.0,1
20,3309,286.0,1
21,3542,92.0,1
22,3809,-317.0,1
23,3878,686.0,1
24,3887,971.0,1
25,4061,196.0,1
26,4133,693.0,1
27,4450,-397.0,1
28,4634,211.0,1
29,4646,953.0,1
30,4712,714.0,1
31,4855,342.0,1
32,4978,512.0,1
33,5021,812.0,1
34,5121,535.0,1
35,5183,713.0,1
36,5234,769.0,1
37,5277,772.0,1
38,5321,811.0,1
39,5440,466.0,1
40,5790,-640.0,1
41,5854,701.0,1
42,5888,851.0,1
43,5905,923.0,1
44,6235,-610.0,1
45,6248,957.0,1
46,6293,765.0,1
47,6375,638.0,1
48,6557,123.0,1
49,6616,736.0,1
50,6623,968.0,1
51,6664,794.0,1
52,6693,896.0,1
53,6785,548.0,1
54,6910,425.0,1
55,6933,917.0,1
56,6950,943.0,1
57,7001,809.0,1
58,7029,887.0,1
59,7417,-828.0,1
60,7422,985.0,1
61,7472,780.0,1
62,7681,156.0,1
63,7682,999.0,1
64,7695,942.0,1
65,7702,973.0,1
66,7750,837.0,1
67,7882,463.0,1
68,7938,784.0,1
69,7952,946.0,1
70,8200,-208.0,1
71,8497,-377.0,1
72,8558,754.0,1
73,8581,902.0,1
74,8625,811.0,1
75,8643,917.0,1
76,8695,728.0,1
77,8696,994.0,1
78,8741,775.0,1
79,8742,994.0,1
80,8796,761.0,1
81,8810,946.0,1
82,8901,564.0,1
83,8931,885.0,1
84,8989,727.0,1
85,9090,544.0,1
86,9113,887.0,1
87,9234,409.0,1
88,9235,994.0,1
89,9305,645.0,1
90,9306,994.0,1
91,9376,715.0,1
92,9413,823.0,1
93,9449,844.0,1
94,9533,646.0,1
95,9563,880.0,1
96,9580,908.0,1
97,9602,913.0,1
98,9651,771.0,1
99,9798,328.0,1
