episode,timesteps,reward,red_car_escaped
0,52,798.0,1
1,133,669.0,1
2,404,-136.0,1
3,759,-450.0,1
4,934,325.0,1
5,1527,-1788.0,1
6,1721,191.0,1
7,2068,-627.0,1
8,2165,538.0,1
9,2741,-1576.0,1
10,2819,722.0,1
11,2820,994.0,1
12,2894,671.0,1
13,2919,875.0,1
14,3048,441.0,1
15,3049,994.0,1
16,3163,466.0,1
17,3335,328.0,1
18,3359,906.0,1
19,3360,994.0,1
20,4120,-2140.0,1
21,4369,-54.0,1
22,4406,823.0,1
23,4510,606.0,1
24,4580,665.0,1
25,4622,798.0,1
26,4651,851.0,1
27,4847,19.0,1
28,4922,690.0,1
29,4959,838.0,1
30,4992,847.0,1
31,5115,442.0,1
32,5212,583.0,1
33,5329,528.0,1
34,5337,967.0,1
35,5372,850.0,1
36,5401,866.0,1
37,5705,-354.0,1
38,6020,-440.0,1
39,6243,52.0,1
40,6287,791.0,1
41,6350,707.0,1
42,6397,778.0,1
43,6398,999.0,1
44,6474,684.0,1
45,6547,677.0,1
46,6581,841.0,1
47,6731,390.0,1
48,6816,605.0,1
49,6884,672.0,1
50,6966,603.0,1
51,7148,148.0,1
52,7167,936.0,1
53,7318,279.0,1
54,7367,826.0,1
55,7401,846.0,1
56,7440,836.0,1
57,7553,477.0,1
58,7961,-753.0,1
59,8043,623.0,1
60,8325,-137.0,1
61,8348,922.0,1
62,8497,406.0,1
63,8510,962.0,1
64,8511,994.0,1
65,8604,592.0,1
66,8870,-326.0,1
67,8871,994.0,1
68,9058,148.0,1
69,9138,635.0,1
70,9147,961.0,1
71,9148,999.0,1
72,9219,734.0,1
73,9328,576.0,1
74,9348,905.0,1
75,9465,488.0,1
76,9540,635.0,1
77,9739,111.0,1
78,9748,961.0,1
79,9804,759.0,1
80,9805,999.0,1
81,9906,509.0,1
82,9934,867.0,1
83,9994,750.0,1
84,10013,926.0,1
85,10087,696.0,1
