episode,timesteps,reward,red_car_escaped
0,46,779.0,1
1,217,289.0,1
2,292,685.0,1
3,383,664.0,1
4,408,900.0,1
5,471,757.0,1
6,1119,-2003.0,1
7,1557,-808.0,1
8,2577,-3625.0,1
9,2673,589.0,1
10,2703,875.0,1
11,2788,640.0,1
12,2821,877.0,1
13,3431,-1525.0,1
14,3671,-75.0,1
15,3814,397.0,1
16,3865,819.0,1
17,4179,-489.0,1
18,4191,938.0,1
19,4259,727.0,1
20,4334,645.0,1
21,4368,911.0,1
22,4670,-352.0,1
23,4714,836.0,1
24,4870,344.0,1
25,5095,-75.0,1
26,5281,209.0,1
27,5478,113.0,1
28,5491,932.0,1
29,5519,857.0,1
30,5547,882.0,1
31,5727,205.0,1
32,5810,677.0,1
33,6004,111.0,1
34,6194,265.0,1
35,6245,799.0,1
36,6270,875.0,1
37,6328,782.0,1
38,6376,827.0,1
39,6532,344.0,1
40,7327,-2725.0,1
41,7344,948.0,1
42,7442,542.0,1
43,7459,938.0,1
44,7508,751.0,1
45,7692,226.0,1
46,8143,-1206.0,1
47,8232,586.0,1
48,8284,758.0,1
49,8322,862.0,1
50,8530,-88.0,1
51,8559,891.0,1
52,8590,839.0,1
53,8727,373.0,1
54,8762,830.0,1
55,8840,672.0,1
56,8841,999.0,1
57,8842,994.0,1
58,8921,661.0,1
59,8945,901.0,1
60,8960,945.0,1
61,9031,629.0,1
62,9079,857.0,1
63,9109,860.0,1
64,9147,832.0,1
65,9191,776.0,1
66,9221,885.0,1
67,9310,621.0,1
68,9326,939.0,1
69,9355,861.0,1
70,9409,756.0,1
71,9470,749.0,1
72,9471,999.0,1
73,9478,978.0,1
74,9518,835.0,1
75,9590,663.0,1
76,9781,109.0,1
77,9824,837.0,1
78,9883,791.0,1
79,9930,778.0,1
80,9931,994.0,1
81,9932,994.0,1
82,9947,930.0,1
83,9988,779.0,1
84,10026,842.0,1
85,10190,326.0,1
86,10191,994.0,1
87,10296,575.0,1
88,10306,965.0,1
89,10334,897.0,1
90,10380,829.0,1
91,10638,-243.0,1
92,10646,977.0,1
93,10666,915.0,1
94,10749,612.0,1
95,10769,915.0,1
96,10876,478.0,1
97,10949,652.0,1
98,10976,883.0,1
99,11004,872.0,1
100,11143,371.0,1
101,11163,915.0,1
