episode,timesteps,reward,red_car_escaped
0,486,-986.0,1
1,667,194.0,1
2,817,285.0,1
3,1023,24.0,1
4,1517,-1529.0,1
5,1678,334.0,1
6,2050,-777.0,1
7,2550,-1165.0,1
8,2666,469.0,1
9,3792,-3736.0,1
10,3866,696.0,1
11,3968,503.0,1
12,4204,-61.0,1
13,4272,677.0,1
14,4398,509.0,1
15,4510,548.0,1
16,4564,771.0,1
17,4773,31.0,1
18,4836,722.0,1
19,5015,101.0,1
20,5128,507.0,1
21,5129,994.0,1
22,5294,245.0,1
23,5318,886.0,1
24,5720,-657.0,1
25,6983,-4578.0,1
26,7005,903.0,1
27,7147,413.0,1
28,7537,-820.0,1
29,7549,963.0,1
30,7571,908.0,1
31,7703,478.0,1
32,7800,548.0,1
33,7882,578.0,1
34,7916,821.0,1
35,7939,907.0,1
36,7996,753.0,1
37,8059,722.0,1
38,8074,940.0,1
39,8125,799.0,1
40,8142,938.0,1
41,8233,619.0,1
42,8334,554.0,1
43,8378,811.0,1
44,8406,887.0,1
45,8412,979.0,1
46,8423,949.0,1
47,8552,406.0,1
48,8622,680.0,1
49,8727,550.0,1
50,8805,637.0,1
51,8970,220.0,1
52,8971,999.0,1
53,9065,656.0,1
54,9107,828.0,1
55,9123,944.0,1
56,9173,790.0,1
57,9250,658.0,1
58,9749,-1274.0,1
59,9800,754.0,1
60,9828,897.0,1
61,9877,786.0,1
62,9914,803.0,1
63,10054,395.0,1
64,10117,717.0,1
65,10175,752.0,1
66,10240,675.0,1
67,10259,901.0,1
68,10294,835.0,1
69,10323,876.0,1
70,10361,832.0,1
71,10393,868.0,1
72,10455,698.0,1
73,10487,878.0,1
74,10501,936.0,1
75,10605,541.0,1
76,10673,702.0,1
77,10749,679.0,1
78,10863,481.0,1
79,10920,773.0,1
80,10935,940.0,1
81,10951,934.0,1
82,11010,741.0,1
83,11055,805.0,1
84,11102,813.0,1
85,11178,629.0,1
86,11274,559.0,1
87,11337,702.0,1
88,11338,994.0,1
89,11354,919.0,1
90,11396,833.0,1
91,11401,985.0,1
92,11418,938.0,1
93,11450,858.0,1
94,11464,946.0,1
95,11506,808.0,1
96,11534,857.0,1
97,11560,874.0,1
98,11574,941.0,1
99,11602,872.0,1
