episode,timesteps,reward,red_car_escaped
0,1030,-3795.0,1
1,1183,217.0,1
2,1428,-35.0,1
3,1988,-1670.0,1
4,2036,787.0,1
5,2085,791.0,1
6,2151,709.0,1
7,2175,901.0,1
8,2220,795.0,1
9,2565,-515.0,1
10,2830,-170.0,1
11,2878,772.0,1
12,2903,885.0,1
13,2943,820.0,1
14,3021,627.0,1
15,3104,682.0,1
16,3178,656.0,1
17,3223,805.0,1
18,3233,965.0,1
19,3346,567.0,1
20,3475,431.0,1
21,3843,-488.0,1
22,3989,469.0,1
23,4004,930.0,1
24,4047,817.0,1
25,4067,915.0,1
26,4095,877.0,1
27,4143,802.0,1
28,4187,786.0,1
29,4188,999.0,1
30,4217,861.0,1
31,4247,885.0,1
32,4290,832.0,1
33,4297,973.0,1
34,4298,994.0,1
35,4372,686.0,1
36,4646,-159.0,1
37,4669,877.0,1
38,4719,755.0,1
39,4747,877.0,1
40,4864,503.0,1
41,5049,260.0,1
42,5079,885.0,1
43,5113,876.0,1
44,5592,-1129.0,1
45,5625,852.0,1
46,5743,437.0,1
47,5798,790.0,1
48,5873,725.0,1
49,5941,672.0,1
50,6047,469.0,1
51,6092,765.0,1
52,6159,738.0,1
53,6161,998.0,1
54,6255,611.0,1
55,6292,828.0,1
56,6323,874.0,1
57,8370,-8432.0,1
58,8429,791.0,1
59,8466,873.0,1
60,8515,771.0,1
61,8592,683.0,1
62,8742,350.0,1
63,8762,920.0,1
64,8847,690.0,1
65,8931,606.0,1
66,9161,75.0,1
67,9256,580.0,1
68,9284,867.0,1
69,9306,898.0,1
70,9437,474.0,1
71,9446,961.0,1
72,9511,700.0,1
73,9527,939.0,1
74,9574,778.0,1
75,9631,753.0,1
76,9655,871.0,1
77,9768,512.0,1
78,9769,994.0,1
79,9770,994.0,1
80,9827,758.0,1
81,10299,-1032.0,1
82,10327,872.0,1
83,10395,722.0,1
84,10429,881.0,1
85,10538,486.0,1
86,10539,994.0,1
87,10610,664.0,1
88,10687,653.0,1
89,10743,779.0,1
90,10782,811.0,1
91,10792,955.0,1
92,10859,678.0,1
93,10886,903.0,1
94,10941,755.0,1
95,10942,994.0,1
96,10943,994.0,1
97,11047,476.0,1
98,11068,899.0,1
99,11142,656.0,1
