episode,timesteps,reward,red_car_escaped
0,80,650.0,1
1,216,359.0,1
2,603,-557.0,1
3,1094,-1076.0,1
4,1299,-15.0,1
5,2378,-3864.0,1
6,3405,-3787.0,1
7,3494,671.0,1
8,3513,931.0,1
9,3570,758.0,1
10,3852,-102.0,1
11,3988,369.0,1
12,4223,-65.0,1
13,4292,706.0,1
14,4363,644.0,1
15,4414,764.0,1
16,4721,-387.0,1
17,4793,678.0,1
18,4817,876.0,1
19,4873,759.0,1
20,4944,699.0,1
21,5008,726.0,1
22,5028,905.0,1
23,5261,-68.0,1
24,5296,855.0,1
25,5304,977.0,1
26,5329,900.0,1
27,5344,925.0,1
28,5396,768.0,1
29,5490,596.0,1
30,5585,590.0,1
31,5649,691.0,1
32,5735,649.0,1
33,6060,-320.0,1
34,6291,-16.0,1
35,6473,173.0,1
36,6806,-533.0,1
37,7033,18.0,1
38,7156,452.0,1
39,7234,652.0,1
40,7284,765.0,1
41,7469,215.0,1
42,7495,909.0,1
43,7531,849.0,1
44,7591,705.0,1
45,7749,267.0,1
46,7750,994.0,1
47,8017,-282.0,1
48,8018,994.0,1
49,8055,828.0,1
50,8115,725.0,1
51,8173,712.0,1
52,8317,311.0,1
53,8348,874.0,1
54,8435,558.0,1
55,8562,488.0,1
56,8590,882.0,1
57,8668,677.0,1
58,8727,741.0,1
59,8749,923.0,1
60,8873,386.0,1
61,8916,817.0,1
62,8967,754.0,1
63,8989,923.0,1
64,8990,994.0,1
65,9018,867.0,1
66,9039,934.0,1
67,9109,675.0,1
68,9145,859.0,1
69,9319,211.0,1
70,9387,642.0,1
71,9476,586.0,1
72,9539,707.0,1
73,9612,677.0,1
74,9660,792.0,1
75,9678,917.0,1
76,9764,644.0,1
77,9774,950.0,1
78,9775,994.0,1
79,9802,878.0,1
80,9975,147.0,1
81,10083,517.0,1
82,10282,116.0,1
83,10314,888.0,1
84,10363,786.0,1
85,10502,471.0,1
86,10542,800.0,1
87,10557,930.0,1
88,10567,950.0,1
89,10577,955.0,1
90,10628,794.0,1
91,10721,602.0,1
92,10795,651.0,1
93,10822,883.0,1
94,10847,895.0,1
95,10948,459.0,1
96,11022,701.0,1
97,11183,249.0,1
98,11212,886.0,1
99,11276,701.0,1
100,11298,893.0,1
101,11308,965.0,1
102,11359,779.0,1
103,11387,897.0,1
104,11398,954.0,1
105,11411,947.0,1
106,11449,832.0,1
107,11553,451.0,1
108,11554,999.0,1
109,11563,966.0,1
110,11581,912.0,1
111,11582,994.0,1
112,11626,801.0,1
113,11657,854.0,1
114,11792,450.0,1
115,11793,994.0,1
116,11873,635.0,1
117,11895,923.0,1
118,11909,926.0,1
119,11969,720.0,1
120,12024,730.0,1
121,12096,648.0,1
122,12182,659.0,1
123,12307,375.0,1
124,12352,810.0,1
125,12353,994.0,1
126,12383,900.0,1
127,12396,942.0,1
128,12397,994.0,1
129,12439,818.0,1
130,12491,808.0,1
131,12531,830.0,1
132,12567,839.0,1
133,12568,994.0,1
134,12609,799.0,1
135,12640,874.0,1
136,12690,795.0,1
137,12763,632.0,1
138,12869,544.0,1
139,12886,933.0,1
140,12935,776.0,1
141,12965,890.0,1
142,13013,772.0,1
143,13110,523.0,1
144,13150,805.0,1
145,13317,243.0,1
146,13395,657.0,1
147,13533,342.0,1
148,13609,659.0,1
149,13636,883.0,1
150,13637,994.0,1
151,13728,609.0,1
152,13740,958.0,1
153,13758,912.0,1
154,13817,721.0,1
155,13818,994.0,1
156,13856,802.0,1
157,13920,706.0,1
158,14078,177.0,1
159,14079,994.0,1
160,14144,740.0,1
161,14145,994.0,1
162,14175,835.0,1
163,14176,999.0,1
164,14226,775.0,1
165,14303,638.0,1
166,14368,760.0,1
167,14381,942.0,1
168,14423,798.0,1
169,14458,850.0,1
170,14502,806.0,1
171,14521,926.0,1
172,14580,731.0,1
173,14622,813.0,1
174,14632,960.0,1
175,14643,969.0,1
176,14743,580.0,1
177,14757,941.0,1
178,14763,979.0,1
179,14833,675.0,1
180,14870,858.0,1
181,14871,994.0,1
182,14872,994.0,1
183,14887,920.0,1
184,14957,675.0,1
185,14958,999.0,1
186,15023,745.0,1
187,15093,660.0,1
188,15094,994.0,1
189,15125,844.0,1
190,15251,429.0,1
191,15290,851.0,1
192,15309,926.0,1
193,15323,936.0,1
194,15336,947.0,1
195,15432,564.0,1
196,15874,-1187.0,1
197,15890,934.0,1
198,15930,820.0,1
199,15976,794.0,1
200,16003,868.0,1
201,16042,801.0,1
202,16043,994.0,1
203,16071,882.0,1
204,16090,911.0,1
205,16123,852.0,1
206,16146,902.0,1
207,16174,892.0,1
208,16184,960.0,1
209,16209,910.0,1
210,16244,850.0,1
211,16245,994.0,1
212,16306,719.0,1
213,16917,-1901.0,1
214,16933,939.0,1
215,16957,891.0,1
216,16958,994.0,1
217,17006,797.0,1
218,17007,994.0,1
219,17058,794.0,1
220,17128,670.0,1
