episode,timesteps,reward,red_car_escaped
0,511,-1296.0,1
1,980,-999.0,1
2,1071,614.0,1
3,1239,222.0,1
4,1546,-237.0,1
5,2053,-1052.0,1
6,2177,481.0,1
7,2180,992.0,1
8,2536,-491.0,1
9,2624,602.0,1
10,2781,178.0,1
11,2797,959.0,1
12,2966,251.0,1
13,3029,747.0,1
14,3191,308.0,1
15,3217,889.0,1
16,3310,637.0,1
17,3343,867.0,1
18,3881,-1288.0,1
19,3900,901.0,1
20,4103,167.0,1
21,4126,902.0,1
22,4460,-474.0,1
23,4519,731.0,1
24,4546,913.0,1
25,4687,384.0,1
26,4810,407.0,1
27,4862,793.0,1
28,4863,994.0,1
29,4954,594.0,1
30,5105,354.0,1
31,5239,396.0,1
32,5240,999.0,1
33,5252,958.0,1
34,5327,635.0,1
35,5328,994.0,1
36,5468,360.0,1
37,5548,700.0,1
38,5595,758.0,1
39,5723,507.0,1
40,5897,356.0,1
41,6014,523.0,1
42,6095,679.0,1
43,6122,883.0,1
44,6226,551.0,1
45,6352,449.0,1
46,6353,994.0,1
47,6384,874.0,1
48,6426,783.0,1
49,6670,1.0,1
50,6816,289.0,1
51,6832,934.0,1
52,6854,903.0,1
53,6929,655.0,1
54,6985,729.0,1
55,7059,701.0,1
56,7078,921.0,1
57,7323,-245.0,1
58,7442,521.0,1
59,7467,890.0,1
60,7501,836.0,1
61,7525,881.0,1
62,7594,736.0,1
63,7601,973.0,1
64,7651,795.0,1
65,7705,761.0,1
66,7727,888.0,1
67,7744,923.0,1
68,7921,118.0,1
69,8054,377.0,1
70,8185,424.0,1
71,8280,485.0,1
72,8318,832.0,1
73,8388,670.0,1
74,8520,458.0,1
75,8538,927.0,1
76,8605,693.0,1
77,8664,701.0,1
78,8665,994.0,1
79,8780,450.0,1
80,8805,900.0,1
81,8873,682.0,1
82,8912,856.0,1
83,8913,999.0,1
84,8921,972.0,1
85,8959,817.0,1
86,8983,911.0,1
87,9072,561.0,1
88,9202,475.0,1
89,9236,886.0,1
90,9237,994.0,1
91,9309,698.0,1
92,9490,144.0,1
93,9696,-101.0,1
94,9800,511.0,1
95,9866,694.0,1
96,10071,55.0,1
97,10201,420.0,1
98,10296,565.0,1
99,10321,860.0,1
100,10348,913.0,1
101,10373,920.0,1
102,10422,816.0,1
103,10448,894.0,1
104,10476,892.0,1
105,10510,851.0,1
106,10536,864.0,1
107,10557,904.0,1
108,10577,915.0,1
109,10756,231.0,1
110,10865,496.0,1
111,10893,847.0,1
112,10923,890.0,1
113,10964,819.0,1
114,10980,919.0,1
115,11064,646.0,1
116,11095,869.0,1
117,11143,812.0,1
118,11209,749.0,1
119,11257,807.0,1
120,11287,880.0,1
121,11350,737.0,1
122,11367,933.0,1
123,11374,978.0,1
124,11406,873.0,1
125,11464,732.0,1
126,11518,756.0,1
127,11574,754.0,1
128,12029,-940.0,1
129,12160,459.0,1
130,12250,610.0,1
131,12340,600.0,1
132,12379,821.0,1
133,12390,954.0,1
134,12409,921.0,1
135,12597,37.0,1
136,12626,861.0,1
137,12656,860.0,1
138,12677,924.0,1
139,12742,720.0,1
140,12796,746.0,1
141,12808,948.0,1
142,12809,994.0,1
143,12810,994.0,1
144,12836,899.0,1
145,12877,814.0,1
146,12961,656.0,1
147,12989,847.0,1
148,13035,809.0,1
149,13113,587.0,1
150,13148,885.0,1
151,13162,971.0,1
152,13203,834.0,1
153,13204,994.0,1
154,13242,857.0,1
155,13373,344.0,1
156,13386,962.0,1
157,13387,999.0,1
158,13397,965.0,1
159,13529,428.0,1
160,13656,353.0,1
161,13683,883.0,1
162,13812,401.0,1
163,13859,823.0,1
164,13920,749.0,1
165,13972,803.0,1
166,13981,966.0,1
167,14032,749.0,1
168,14082,790.0,1
169,14083,999.0,1
170,14131,797.0,1
171,14132,994.0,1
172,14162,840.0,1
173,14163,994.0,1
174,14186,902.0,1
175,14203,918.0,1
176,14204,994.0,1
177,14394,90.0,1
178,14470,659.0,1
179,14471,994.0,1
180,14502,839.0,1
181,14503,994.0,1
182,14564,714.0,1
183,14631,698.0,1
184,14667,829.0,1
185,14684,918.0,1
186,14723,851.0,1
187,14753,870.0,1
188,14767,961.0,1
189,14783,944.0,1
190,14830,803.0,1
191,14845,935.0,1
192,14846,994.0,1
193,14875,896.0,1
194,14970,555.0,1
195,14979,961.0,1
196,15008,866.0,1
197,15009,994.0,1
198,15023,936.0,1
199,15033,965.0,1
200,15098,740.0,1
201,15172,646.0,1
202,15175,997.0,1
203,15237,698.0,1
204,15238,994.0,1
205,15239,999.0,1
206,15267,882.0,1
207,15344,648.0,1
208,15453,411.0,1
209,15454,994.0,1
210,15481,898.0,1
211,15521,795.0,1
212,15564,772.0,1
213,15599,815.0,1
214,15601,998.0,1
215,15700,576.0,1
216,15761,734.0,1
217,15778,928.0,1
218,15862,631.0,1
219,15863,999.0,1
220,15864,994.0,1
221,16103,-159.0,1
222,16119,929.0,1
223,16120,994.0,1
224,16230,520.0,1
225,16234,986.0,1
226,16249,940.0,1
227,16391,393.0,1
228,17237,-3076.0,1
229,17261,886.0,1
230,17262,994.0,1
231,17280,917.0,1
232,17311,859.0,1
233,17312,994.0,1
234,17369,753.0,1
235,17416,778.0,1
236,17417,994.0,1
237,17518,559.0,1
238,17667,241.0,1
239,17668,994.0,1
240,17669,994.0,1
241,17714,765.0,1
242,17722,972.0,1
243,17748,879.0,1
244,17848,545.0,1
245,17849,999.0,1
246,17935,569.0,1
247,17972,838.0,1
248,17973,999.0,1
249,17982,976.0,1
250,17983,994.0,1
251,18008,865.0,1
252,18018,965.0,1
253,18054,854.0,1
254,18077,917.0,1
255,18078,994.0,1
256,18096,927.0,1
257,18097,994.0,1
258,18107,955.0,1
259,18119,968.0,1
260,18185,694.0,1
261,18186,994.0,1
262,18216,860.0,1
263,18225,966.0,1
264,18247,908.0,1
265,18248,994.0,1
266,18266,922.0,1
267,18283,923.0,1
268,18284,994.0,1
269,18367,657.0,1
270,18374,973.0,1
271,18387,942.0,1
272,18395,967.0,1
273,18396,994.0,1
274,18450,756.0,1
275,18451,999.0,1
276,18475,891.0,1
277,18521,824.0,1
278,18530,961.0,1
279,18538,972.0,1
280,18573,840.0,1
281,18574,994.0,1
282,18615,814.0,1
283,18639,876.0,1
284,18645,974.0,1
285,18666,909.0,1
286,18680,936.0,1
287,18681,994.0,1
288,18737,789.0,1
289,18767,850.0,1
290,18781,951.0,1
291,18802,914.0,1
292,18900,567.0,1
293,18911,969.0,1
294,18912,994.0,1
295,18946,876.0,1
296,18982,854.0,1
297,19000,927.0,1
298,19080,655.0,1
299,19112,863.0,1
300,19113,994.0,1
301,19142,856.0,1
302,19153,959.0,1
303,19161,967.0,1
304,19199,842.0,1
305,19200,994.0,1
306,19228,862.0,1
307,19239,964.0,1
308,19240,994.0,1
309,19247,973.0,1
310,19353,569.0,1
311,19366,962.0,1
312,19387,919.0,1
313,19404,928.0,1
314,19405,994.0,1
315,19415,960.0,1
316,19441,889.0,1
317,19481,805.0,1
318,19482,994.0,1
319,19506,896.0,1
320,19543,818.0,1
321,19576,877.0,1
322,19601,890.0,1
323,19602,994.0,1
324,19613,959.0,1
325,19614,994.0,1
326,19633,921.0,1
327,19654,899.0,1
328,19655,994.0,1
329,19692,833.0,1
330,19714,908.0,1
331,19746,858.0,1
332,19758,958.0,1
333,19759,994.0,1
334,19760,994.0,1
335,19761,999.0,1
336,19766,985.0,1
337,19816,770.0,1
338,19817,994.0,1
339,19840,902.0,1
340,19841,994.0,1
341,19871,880.0,1
342,19877,974.0,1
343,19886,966.0,1
344,19887,999.0,1
345,19914,898.0,1
346,19936,928.0,1
347,19963,888.0,1
348,20027,696.0,1
349,20055,872.0,1
350,20092,808.0,1
351,20205,422.0,1
352,20206,994.0,1
353,20251,825.0,1
354,20310,731.0,1
355,20319,966.0,1
356,20320,994.0,1
357,20321,994.0,1
358,20689,-758.0,1
359,20733,816.0,1
360,20765,878.0,1
361,20772,978.0,1
362,20808,849.0,1
363,21026,-63.0,1
364,21027,994.0,1
365,21053,894.0,1
366,21056,992.0,1
367,21057,999.0,1
368,21058,994.0,1
369,21113,755.0,1
370,21114,994.0,1
371,21133,916.0,1
372,21175,818.0,1
373,21176,994.0,1
374,21199,897.0,1
375,21238,826.0,1
376,21239,994.0,1
377,21255,919.0,1
378,21266,969.0,1
379,21301,830.0,1
380,21321,930.0,1
